id,name,symbol,price_usd,market_cap_usd,volume_24h_usd
1,Bitcoin,BTC,20193.08,386367214848,37844037961
2,Ethereum,ETH,1498.95,183070118410,23122015977
5,BNB,BNB,283.24,45635342530,1098036803
17,Wrapped Bitcoin,WBTC,20175.04,4998579660,250616863
28,Monero,XMR,145.19,2628350155,112097455
29,Bitcoin Cash,BCH,116.43,2229207347,308513199
56,Maker,MKR,774.88,757557930,180408318
67,PAX Gold,PAXG,1727.78,587600813,16675538
87,Gnosis,GNO,152.14,392468642,6698432
100,yearn.finance,YFI,8893.49,325837052,61988204
